,anoFundacao,intervaloFundacao
687,2013.0,De 6 a 10 anos
688,2008.0,De 11 a 16 anos
689,2015.0,De 0 a 5 anos
690,2007.0,De 11 a 16 anos
691,2008.0,De 11 a 16 anos
692,2000.0,Acima de 17 anos
693,2003.0,Acima de 17 anos
694,2018.0,De 0 a 5 anos
695,2012.0,De 6 a 10 anos
696,2008.0,De 11 a 16 anos
697,2007.0,De 11 a 16 anos
698,2013.0,De 6 a 10 anos
699,2009.0,De 11 a 16 anos
700,1969.0,Acima de 17 anos
701,2015.0,De 0 a 5 anos
702,2007.0,De 11 a 16 anos
703,2009.0,De 11 a 16 anos
704,2011.0,De 6 a 10 anos
705,2019.0,De 0 a 5 anos
706,2007.0,De 11 a 16 anos
707,2017.0,De 0 a 5 anos
708,1983.0,Acima de 17 anos
709,2016.0,De 0 a 5 anos
710,2018.0,De 0 a 5 anos
711,1941.0,Acima de 17 anos
712,2019.0,De 0 a 5 anos
713,2005.0,De 11 a 16 anos
714,1995.0,Acima de 17 anos
715,2012.0,De 6 a 10 anos
716,2019.0,De 0 a 5 anos
717,2012.0,De 6 a 10 anos
718,2009.0,De 11 a 16 anos
719,2016.0,De 0 a 5 anos
720,1998.0,Acima de 17 anos
721,2014.0,De 6 a 10 anos
722,2019.0,De 0 a 5 anos
723,1986.0,Acima de 17 anos
724,1998.0,Acima de 17 anos
725,2015.0,De 0 a 5 anos
726,2009.0,De 11 a 16 anos
727,2009.0,De 11 a 16 anos
728,2019.0,De 0 a 5 anos
729,2006.0,De 11 a 16 anos
730,2013.0,De 6 a 10 anos
731,2016.0,De 0 a 5 anos
732,2019.0,De 0 a 5 anos
733,2004.0,De 11 a 16 anos
734,1999.0,Acima de 17 anos
735,2001.0,Acima de 17 anos
736,,
737,2000.0,Acima de 17 anos
738,1975.0,Acima de 17 anos
739,2003.0,Acima de 17 anos
740,2015.0,De 0 a 5 anos
741,1994.0,Acima de 17 anos
742,1979.0,Acima de 17 anos
743,2000.0,Acima de 17 anos
744,1992.0,Acima de 17 anos
745,1990.0,Acima de 17 anos
746,2007.0,De 11 a 16 anos
747,2019.0,De 0 a 5 anos
748,2019.0,De 0 a 5 anos
749,2007.0,De 11 a 16 anos
750,2015.0,De 0 a 5 anos
751,2001.0,Acima de 17 anos
